tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres
tt0013274,movie,Istoriya grazhdanskoy voyny,Istoriya grazhdanskoy voyny,0,2021,94,Documentary
tt0015414,movie,La tierra de los toros,La tierra de los toros,0,2000,60,\N
tt0015724,movie,Dama de noche,Dama de noche,0,1993,102,"Drama,Mystery,Romance"
tt0022064,movie,Lebbra bianca,Lebbra bianca,0,1951,100,Drama
tt0025557,movie,El negro que tenía el alma blanca,El negro que tenía el alma blanca,0,1951,87,"Drama,Musical"
tt0030998,movie,You're Only Young Twice,You're Only Young Twice,0,1952,81,Comedy
tt0031458,movie,El huésped del sevillano,El huésped del sevillano,0,1970,86,Comedy
tt0031603,movie,Made in Germany - Die dramatische Geschichte des Hauses Zeiss,Made in Germany,0,1957,101,"Biography,Drama"
tt0032787,movie,Mi noche triste,Mi noche triste,0,1952,92,"Drama,Musical"
tt0034683,movie,Dramma sul Tevere,Dramma sul Tevere,0,1952,88,Drama
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,118,"Comedy,Fantasy,Romance"
tt0035933,movie,Elephant Fury,Gesprengte Gitter,0,1953,100,"Drama,War"
tt0036247,movie,Padre nuestro,Padre nuestro,0,1953,89,"Drama,Family"
tt0036493,movie,Mystery of the Black Jungle,I misteri della giungla nera,0,1954,80,"Action,Adventure,Mystery"
tt0036574,movie,"January 30, 1945",Der 30. Januar 1945,0,1965,146,Documentary
tt0036606,movie,"Another Time, Another Place","Another Time, Another Place",0,1983,118,"Drama,War"
tt0037483,movie,Augen der Liebe,Augen der Liebe,0,1951,99,Drama
tt0037585,movie,Knights of the Queen,I cavalieri della regina,0,1954,79,Adventure
tt0038020,movie,Relato policíaco,Relato policíaco,0,1954,75,Crime
tt0038066,movie,Il segreto della Sierra Dorada,Il segreto della Sierra Dorada,0,1957,82,Adventure
tt0038089,movie,Siluri umani,Siluri umani,0,1954,87,"Drama,War"
tt0038240,movie,Das Licht der Liebe,Das Licht der Liebe,0,1954,95,Drama
tt0038687,movie,Let There Be Light,Let There Be Light,0,1980,58,"Documentary,War"
tt0039442,movie,"Habla, mudita","Habla, mudita",0,1973,88,Drama
tt0039965,movie,Viva Chihuahua,Viva Chihuahua,0,1961,80,"Comedy,Western"
tt0040140,movie,Aventuras y desventuras de Eduardini,Aventuras y desventuras de Eduardini,0,1952,102,Comedy
tt0040258,movie,El curioso impertinente,El curioso impertinente,0,1953,85,Drama
tt0040559,movie,La macchina ammazzacattivi,La macchina ammazzacattivi,0,1952,80,"Comedy,Fantasy"
tt0040814,movie,Sobresaliente,Sobresaliente,0,1953,90,Comedy
tt0041114,movie,Altura,Altura,0,1954,88,Drama
tt0041131,movie,Arctic Fury,Arctic Fury,0,1951,61,Adventure
tt0041334,movie,Entre barracas,Entre barracas,0,1954,78,Drama
tt0041357,movie,Fiamme sulla laguna,Fiamme sulla laguna,0,1951,82,"Drama,Music,Romance"
tt0041427,movie,The Great Force,Velikaya sila,0,1951,106,Drama
tt0041477,movie,El hombre que veía la muerte,El hombre que veía la muerte,0,1955,71,Fantasy
tt0041596,movie,The Insanities of Tin Tan,Las locuras de Tin-Tan,0,1952,87,Comedy
tt0041688,movie,Nerone e Messalina,Nerone e Messalina,0,1953,106,Drama
tt0041814,movie,La rivale dell'imperatrice,La rivale dell'imperatrice,0,1951,95,Drama
tt0041825,movie,Le rossignol et les cloches,Le rossignol et les cloches,0,1952,92,Musical
tt0041921,movie,A Tale of Five Women,A Tale of Five Cities,0,1951,86,"Drama,Mystery,Romance"
tt0041979,movie,Double Cross,Il tradimento,0,1951,85,"Crime,Drama"
tt0042178,movie,A dos grados del ecuador,A dos grados del ecuador,0,1953,78,Drama
tt0042196,movie,L'amore di Norma,L'amore di Norma,0,1951,89,"Drama,Musical"
tt0042202,movie,That Man from Tangier,Aquel hombre de Tánger,0,1953,82,"Adventure,Comedy,Romance"
tt0042215,movie,¡Ay amor... cómo me has puesto!,¡Ay amor... cómo me has puesto!,0,1951,85,"Comedy,Drama,Romance"
tt0042221,movie,Under the Skies of the Asturias,Bajo el cielo de Asturias,0,1951,79,Drama
tt0042222,movie,Balarrasa,Balarrasa,0,1951,90,"Crime,Drama"
tt0042227,movie,Barbe-Bleue,Barbe-Bleue,0,1951,99,"Comedy,Fantasy,Horror"
tt0042238,movie,Bellezze in bicicletta,Bellezze in bicicletta,0,1951,91,Comedy
tt0042241,movie,Bernard and the Lion,Bertrand coeur de lion,0,1951,99,Comedy
tt0042246,movie,Bibi Fricotin,Bibi Fricotin,0,1951,89,Comedy
tt0042254,movie,Il bivio,Il bivio,0,1951,100,"Crime,Drama"
tt0042257,movie,Blackmailed,Blackmailed,0,1951,85,"Crime,Drama,Thriller"
tt0042269,movie,El bombero atómico,El bombero atómico,0,1952,95,"Comedy,Drama"
tt0042288,movie,Buckaroo Sheriff of Texas,Buckaroo Sheriff of Texas,0,1951,60,Western
tt0042297,movie,Il caimano del Piave,Il caimano del Piave,0,1951,100,"Drama,War"
tt0042305,movie,Canzone di primavera,Canzone di primavera,0,1951,100,Drama
