tconst,primaryTitle,startYear,genres,averageRating,numVotes
tt0111161,The Shawshank Redemption,1994,Drama,9.3,2725109.0
tt0068646,The Godfather,1972,"Crime,Drama",9.2,1894380.0
tt0468569,The Dark Knight,2008,"Action,Crime,Drama",9.0,2697966.0
tt0167260,The Lord of the Rings: The Return of the King,2003,"Action,Adventure,Drama",9.0,1874736.0
tt0108052,Schindler's List,1993,"Biography,Drama,History",9.0,1376210.0
tt0071562,The Godfather Part II,1974,"Crime,Drama",9.0,1291980.0
tt0050083,12 Angry Men,1957,"Crime,Drama",9.0,805867.0
tt0110912,Pulp Fiction,1994,"Crime,Drama",8.9,2093361.0
tt1375666,Inception,2010,"Action,Adventure,Sci-Fi",8.8,2394485.0
tt0137523,Fight Club,1999,Drama,8.8,2168245.0
